family,lane,api,stage_or_mode,source_format,current_status,source_path,runner_hint,evidence_target,next_step
alu_latency_dep_chain,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/latency_add_ieee.frag,shader_runner_or_gl_harness,PV-forwarded ALU latency table,port into Vulkan compute and OpenCL kernels
mul_latency_dep_chain,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/latency_mul_ieee.frag,shader_runner_or_gl_harness,scalar and vec-slot multiply latency,compare against MULLO_INT and native FP64
fma_latency_dep_chain,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/latency_muladd_ieee.frag,shader_runner_or_gl_harness,FMA bundle latency and packing behavior,add typed packed variants
dot4_bundle_probe,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/latency_dot4.frag,shader_runner_or_gl_harness,full vec4 issue and bundle utilization,port into packed-int and fixed-point study
transcendental_dep_chain,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/latency_recipsqrt.frag,shader_runner_or_gl_harness,trans-slot latency and clause behavior,extend to SIN COS and future exp/log equivalents
texture_cache_l1,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/latency_tex_l1_hit.frag,shader_runner_or_gl_harness,TEX L1 hit envelope and cache knee,add stride and dependent/independent variants
texture_stride_sweep,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/latency_tex_stride.frag,shader_runner_or_gl_harness,TEX miss and stride-driven latency,connect to cache and clause transition studies
kcache_latency,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/latency_kcache.frag,shader_runner_or_gl_harness,constant cache latency estimate,port to UBO/Vulkan descriptor experiments
clause_switch_boundary,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/clause_switch_alu_tex.frag,shader_runner_or_gl_harness,ALU to TEX clause-switch overhead,add ALU/VTX and TEX/ALU transitions
gpr_pressure_sweep,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/gpr_pressure_64.frag,shader_runner_or_gl_harness,GPR pressure vs occupancy and VLIW fill,clone into compute and OpenCL
vliw_packing_scalar,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/vliw5_scalar.frag,shader_runner_or_gl_harness,scalar-only bundle behavior,compare against vec4 and mixed trans paths
